timestamp,machine_id,vibration,temperature,pressure,acoustic,flow_rate,RUL,failure
2024-01-01 00:00:00,M1,0.545,72.62,101.48,54.61,28.36,91,0
2024-01-01 01:00:00,M1,0.362,74.24,85.06,43.76,29.77,90,0
2024-01-01 02:00:00,M1,0.591,69.95,102.53,50.4,30.87,89,0
2024-01-01 03:00:00,M1,0.597,77.82,95.77,47.32,28.92,88,0
2024-01-01 04:00:00,M1,0.688,74.78,95.21,55.44,30.79,87,0
2024-01-01 05:00:00,M1,0.304,78.89,75.94,53.81,27.67,86,0
2024-01-01 06:00:00,M1,0.56,70.46,91.76,51.85,27.21,85,0
2024-01-01 07:00:00,M1,0.468,74.62,106.34,54.01,27.94,84,0
2024-01-01 08:00:00,M1,0.541,68.55,95.31,41.81,27.7,83,0
2024-01-01 09:00:00,M1,0.614,80.6,84.96,54.73,32.8,82,0
2024-01-01 10:00:00,M1,0.537,75.77,98.02,55.52,28.8,81,0
2024-01-01 11:00:00,M1,0.314,77.57,86.7,45.13,30.13,80,0
2024-01-01 12:00:00,M1,0.613,68.03,109.29,56.03,33.66,79,0
2024-01-01 13:00:00,M1,0.417,73.46,114.6,49.93,25.47,78,0
2024-01-01 14:00:00,M1,0.522,79.64,93.69,47.54,31.91,77,0
2024-01-01 15:00:00,M1,0.424,71.79,94.98,48.38,29.69,76,0
2024-01-01 16:00:00,M1,0.542,73.21,105.86,48.71,35.92,75,0
2024-01-01 17:00:00,M1,0.574,77.27,82.61,45.83,30.02,74,0
2024-01-01 18:00:00,M1,0.595,72.05,92.06,40.53,25.94,73,0
2024-01-01 19:00:00,M1,0.386,76.45,108.93,58.48,27.02,72,0
2024-01-01 20:00:00,M1,0.565,75.25,106.64,53.78,31.25,71,0
2024-01-01 21:00:00,M1,0.271,74.76,100.45,52.51,30.76,70,0
2024-01-01 22:00:00,M1,0.476,80.66,104.72,50.72,34.82,69,0
2024-01-01 23:00:00,M1,0.538,73.47,102.93,53.62,30.23,68,0
2024-01-02 00:00:00,M1,0.593,76.23,104.1,48.78,34.34,67,0
2024-01-02 01:00:00,M1,0.422,66.06,77.88,49.24,33.0,66,0
2024-01-02 02:00:00,M1,0.593,79.62,95.62,51.32,29.44,65,0
2024-01-02 03:00:00,M1,0.493,79.05,99.99,47.24,26.86,64,0
2024-01-02 04:00:00,M1,0.434,70.97,82.26,54.54,31.41,63,0
2024-01-02 05:00:00,M1,0.277,66.63,107.98,45.28,28.08,62,0
2024-01-02 06:00:00,M1,0.473,72.13,110.57,54.47,32.93,61,0
2024-01-02 07:00:00,M1,0.339,78.52,91.77,58.96,30.63,60,0
2024-01-02 08:00:00,M1,0.629,79.1,95.01,44.92,31.31,59,0
2024-01-02 09:00:00,M1,0.62,74.52,99.68,48.51,26.56,58,0
2024-01-02 10:00:00,M1,0.503,67.28,101.83,60.02,27.04,57,0
2024-01-02 11:00:00,M1,0.381,75.9,92.67,50.07,30.57,56,0
2024-01-02 12:00:00,M1,0.703,69.42,123.44,51.2,31.4,55,0
2024-01-02 13:00:00,M1,0.601,81.79,85.45,46.59,30.61,54,0
2024-01-02 14:00:00,M1,0.582,81.2,84.36,44.75,30.73,53,0
2024-01-02 15:00:00,M1,0.5,80.81,83.63,50.88,26.21,52,0
2024-01-02 16:00:00,M1,0.484,76.73,106.25,59.57,31.0,51,0
2024-01-02 17:00:00,M1,0.431,70.41,101.44,43.12,28.05,50,0
2024-01-02 18:00:00,M1,0.47,71.78,102.07,43.95,31.34,49,0
2024-01-02 19:00:00,M1,0.499,81.92,90.62,50.76,30.6,48,0
2024-01-02 20:00:00,M1,0.526,76.44,103.23,45.83,29.81,47,0
2024-01-02 21:00:00,M1,0.517,70.37,101.81,48.18,34.83,46,0
2024-01-02 22:00:00,M1,0.704,70.03,95.85,45.99,33.27,45,0
2024-01-02 23:00:00,M1,0.264,73.43,99.62,52.49,29.74,44,0
2024-01-03 00:00:00,M1,0.441,64.77,96.18,51.73,27.62,43,0
