Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,RUL
64.96714153011233,113.89266321297463,96.79226523903202,215.56722152333276,26.62410862512809,387.4899415930558
58.61735698828815,128.64124960705195,91.09560419495322,188.97628567342935,29.27740664642241,392.9530811641664
66.47688538100692,79.02148639271289,80.71556443904208,183.63602233155385,26.037900395000193,394.82015228088557
75.23029856408026,108.44453855035856,72.23675866753311,199.93251085178096,28.4601923518048,377.9044420483682
57.658466252766644,90.24036146317259,88.37867976336308,196.59630754950143,20.531926665231072,387.6990157953718
57.6586304305082,92.69311924352957,84.72182462506099,190.9354390134545,31.066468536864694,386.6441474707939
75.79212815507391,91.11409113641696,90.74231864033278,213.9277489491343,30.006027376811122,412.7170032609208
67.67434729152909,87.04013845480276,87.62206162018363,219.1061041714102,25.914556844659046,402.69673514612117
55.30525614065048,100.7278244191724,92.59463258383202,201.76813772583694,33.296228342162024,376.60404931562795
65.42560043585965,87.53574825383444,73.57717746127318,229.55060162110524,34.68785068813279,376.2562598088659
55.365823071875376,104.05685238669759,95.80872878761191,177.1662177173299,21.962200678155128,400.25544556472045
55.34270246429743,99.24642835826295,82.3711952563088,196.12681081440564,26.18637610716893,401.4658976585822
62.41962271566034,96.41577929700385,104.90313047150319,185.6635535879439,26.15428825106351,395.3455964527219
40.86719755342202,86.38654506937603,71.72974618292518,162.66926765853879,25.300484494455677,410.36780996671797
42.75082167486967,91.34843004147501,100.83156563798299,198.34638628314602,34.14737420965874,396.3056161103189
54.37712470759027,111.33086838738635,82.37492940155177,197.56504983233432,29.030869306135983,394.8471337855844
49.87168879665576,107.5137578143657,72.18298395662661,230.26899486484263,28.677425793446947,394.7344917251074
63.142473325952736,85.33667132802174,74.19336999134813,212.61623369109554,19.980688177966233,376.54218557257605
50.91975924478789,101.48998458143839,76.15583230166816,179.5162635134159,33.17709015104613,395.3414998253289
45.87696298664709,111.27080685057683,85.08999135682299,237.08185132668376,23.80370802573264,384.91854549457423
74.65648768921554,74.95892078317942,86.274025856426,224.42067391050705,30.299663151331643,390.119456286655
57.74223699513465,108.15040288569902,73.11559995273706,211.6419540693723,31.386884689790957,420.19428138935604
60.67528204687924,90.0606436158123,79.7077448928682,195.47031802300336,36.80329297919326,396.1090845740084
45.75251813786544,108.5589800288974,105.70724430334236,180.8112152655304,23.45589800440444,392.8158204716908
54.556172754748175,88.55111265186224,100.73051804120854,192.55586447857894,14.902439220895873,410.0119291023817
61.10922589709866,72.92676849003222,85.23588403608838,221.7749723940837,30.919247723768475,400.80186224039977
48.490064225776976,75.58686343175256,80.4560417380184,237.69172611869217,39.00255590755427,401.8184504396095
63.75698018345672,100.72127419992073,81.44037592061913,230.86487056544377,36.19473176469719,390.121178633905
53.99361310081195,103.89583752582223,87.362215672765,190.22301156427451,31.048297076373128,413.48581471861314
